Subtitle Words,Search,Ignore
hardly,,
harm,,
has,,
haste,,
hasty,,
hasufel,,
hate,,
hates,,
haunted,,
have,,
haven,,
he,,
head,,
hear,,
heard,,
hearken,,
heart,,
hearts,,
heavier,,
heir,,
helm,,
help,,
helps,,
her,,
herald,,
herder,,
here,,
hey,,
hide,,
higher,,
highest,,
hills,,
him,,
his,,
hit,,
hmm,,
hobbit,,
hobbits,,
hobbitses,,
hold,,
holding,,
hole,,
holes,,
home,,
homeland,,
homes,,
honor,,
hooded,,
hope,,
hoped,,
hopeless,,
hopes,,
hordes,x,
horn,,
hornburg,,
horns,,
horrid,,
horse,,
horses,,
host,,
hour,,
house,,
how,,
hroom,,
huh,,
hundred,,
hurry,,
hurt,,
hurts,,
hutch,,
i,,
idea,,
idly,,
if,,
ill,,
image,,
in,,
indeed,,
indistinct,,
indistinctly,,
industry,,
innards,x,
inside,,
into,,
iron,,
is,,
isengard,,
isn,,
it,,
ithilien,,
its,,
join,,
journey,,
juicy,,
jump,,
just,,
keep,,
kept,,
key,,
kill,,
killing,,
kin,,
kind,,
king,,
kingdom,,
kings,,
knew,,
know,,
known,,
knows,,
lad,,
laddie,,
lady,,
land,,
lands,,
last,,
lasts,,
late,,
lathspell,,
laughing,,
laughs,,
laws,,
lay,,
lead,,
leading,,
leagues,x,
learn,,
learned,,
least,,
leave,,
leaves,,
leaving,,
led,,
leechcraft,,
left,,
legolas,,
legs,,
lembas,,
less,,
lessened,,
let,,
liar,,
lie,,
liege,,
lies,,
life,,
light,,
lights,,
like,,
likely,,
likes,,
linger,,
lingered,,
listen,,
listening,,
little,,
live,,
lives,,
living,,
ll,,
long,,
longer,,
look,,
looked,,
looking,,
looks,,
lord,,
lords,,
lordship,,
lorien,,
lose,,
lost,,
lot,,
lots,,
love,,
lovely,,
lower,,
lowest,,
loyal,,
luck,,
luckiest,,
lucky,,
m,,
machine,,
mad,,
made,,
madness,,
maggot,,
maggoty,,
make,,
making,,
malcontent,,
mama,,
man,,
manage,,
many,,
march,,
marching,,
mark,,
marshaling,,
marshes,,
mash,,
massacre,,
master,,
masters,,
mattered,,
may,,
maybe,,
meadow,,
mean,,
meant,,
mearas,,
meat,,
meduseld,,
meet,,
memory,,
men,,
menu,,
meriadoc,,
merry,,
met,,
metal,,
mice,,
middle,,
might,,
mighty,,
miles,,
mind,,
mindless,,
mine,,
minute,,
mischief,,
mist,,
mistake,,
mistaken,,
moon,,
mordor,,
more,,
morgoth,,
moria,,
morning,,
mortal,,
mortality,,
morwen,,
most,,
mountain,,
mountains,,
mountainside,,
mouthful,,
move,,
moving,,
mr,,
much,,
muffled,,
murderer,,
murderers,,
must,,
mustn,,
muted,,
my,,
name,,
names,,
nasty,,
natural,,
naught,,
nazgul,,
near,,
nearby,,
neck,,
need,,
needs,,
neighs,,
neither,,
nets,,
never,,
new,,
news,,
nice,,
night,,
nightfall,,
nights,,
nineteen,,
no,,
nobody,,
noise,,
none,,
nor,,
north,,
northeast,,
not,,
nothing,,
now,,
number,,
numbers,,
nut,,
oak,,
oath,,
of,,
off,,
often,,
oh,,
old,,
oliphaunt,,
on,,
once,,
one,,
ones,,
only,,
ooh,,
open,,
opening,,
oppose,,
or,,
orc,,
orcs,,
orcses,,
order,,
osgiliath,,
other,,
ought,,
our,,
ours,,
out,,
outer,,
outlast,,
outscoring,,
over,,
overhead,,
overrun,,
overthrown,,
own,,
pace,,
paid,,
pain,,
pale,,
panic,,
panting,,
pants,,
papa,,
parent,,
part,,
parted,,
party,,
pass,,
passed,,
passing,,
past,,
path,,
paths,,
peak,,
peasants,,
penalty,,
people,,
perhaps,,
perish,,
picked,,
piece,,
piled,,
pilgrim,,
pillage,,
pippin,,
pity,,
place,,
plain,,
please,,
po,,
pointy,,
poison,,
poisoned,,
pool,,
poor,,
possible,,
potent,,
power,,
precious,,
prepare,,
pretty,,
price,,
promise,,
promised,,
protect,,
proud,,
provisions,,
pull,,
pulled,,
puppet,,
purpose,,
pursuit,,
put,,
quality,,
quarry,,
quest,,
question,,
quick,,
quickened,,
quickly,,
quiet,,
ra,,
rabble,,
racket,,
rain,,
raise,,
ran,,
ranger,,
ravine,,
raw,,
re,,
reach,,
ready,,
really,,
realm,,
rebuilt,,
recall,,
reckless,,
reckoning,,
recognizes,,
red,,
refuge,,
reinforcements,,
release,,
remember,,
remembrance,,
remove,,
repel,,
report,,
resown,,
rest,,
resting,,
retreat,,
retribution,,
return,,
returned,,
rick,,
riddermark,,
riddles,,
ride,,
rider,,
riders,,
ridiculous,,
riding,,
right,,
rights,,
ring,,
ringwraith,,
rip,,
rise,,
rises,,
rising,,
risk,,
risky,,
rivendell,,
river,,
road,,
roaming,,
roaring,,
roars,,
rock,,
rocks,,
rohan,,
rohirrim,,
roots,,
rotten,,
ruin,,
ruins,,
rule,,
rumbles,,
rumbling,,
run,,
s,,
sad,,
safe,,
safety,,
said,,
sailing,,
sam,,
samwise,,
saruman,,
sat,,
sauron,,
save,,
saved,,
say,,
saying,,
says,,
scent,,
scout,,
scouts,,
scratch,,
screaming,,
screeches,,
screeching,,
scum,,
search,,
secret,,
secure,,
seduced,,
see,,
seems,,
seen,,
send,,
sends,,
sense,,
senses,,
sent,,
serious,,
servant,,
servants,,
serve,,
served,,
set,,
sets,,
seven,,
seventeen,,
shadow,,
shadowfax,,
shadows,,
shall,,
share,,
sharku,,
she,,
shepherd,,
shh,,
shieldmaiden,,
shields,,
shine,,
shines,,
ship,,
shire,,
shirelings,,
shoot,,
shore,,
short,,
should,,
shouldn,,
shouts,,
show,,
shrink,,
shut,,
sick,,
side,,
sight,,
sign,,
silent,,
simbelmyne,,
since,,
single,,
sire,,
sister,,
skill,,
skulking,,
slaughtered,,
sleep,,
slip,,
slow,,
small,,
smeagol,,
smell,,
smoke,,
smote,,
snake,,
snapping,,
snarling,,
sneaky,,
sniffing,,
sniffs,,
so,,
soft,,
soldiers,,
solid,,
some,,
somehow,,
someone,,
something,,
sometime,,
sometimes,,
somewhat,,
somewhere,,
son,,
songs,,
soon,,
sorry,,
sound,,
sounding,,
sounds,,
south,,
southrons,,
speak,,
speaking,,
spear,,
speech,,
speed,,
spell,,
spent,,
spies,,
spilled,,
spilt,,
spirit,,
spirits,,
spits,,
splendor,,
spoil,,
spoken,,
spot,,
spread,,
spring,,
sprinters,,
squawking,,
squeal,,
squealing,,
stable,,
stabs,,
staff,,
stage,,
stained,,
stairs,,
stand,,
stands,,
star,,
stars,,
started,,
starving,,
stay,,
stayed,,
stays,,
steal,,
steps,,
stew,,
